# mic/ojph [mic/ojph.test]
mic_decompress_c.c:22:44: warning: excess elements in array initializer [-Wexcess-initializers]
# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/PICS-4/MG1-14                 	      10	   5702983 ns/op	1719.86 MB/s	         8.839 ratio	33723312 B/op	      54 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG1-14               	      10	   4081725 ns/op	2402.99 MB/s	         8.839 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG1-14                 	      10	   3407242 ns/op	2878.68 MB/s	         8.869 ratio	34966230 B/op	      97 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG1-14               	      10	   2259021 ns/op	4341.86 MB/s	         8.869 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG2-14                 	      10	  17424467 ns/op	 562.91 MB/s	         8.774 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state/MG2-14             	      10	  16564279 ns/op	 592.14 MB/s	         8.773 ratio	23221259 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-8state/MG2-14             	      10	  16766054 ns/op	 585.01 MB/s	         8.773 ratio	23221259 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG2-14           	      10	  11744104 ns/op	 835.17 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG2-14        	      10	  12315904 ns/op	 796.40 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MG2-14           	      10	  13017742 ns/op	 753.46 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MG2-14        	      10	  12044117 ns/op	 814.37 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG2-14                  	      10	  13747946 ns/op	 713.44 MB/s	         8.774 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG2-14               	      10	  13895017 ns/op	 705.89 MB/s	         8.774 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG2-14                  	      10	  15763158 ns/op	 622.23 MB/s	         8.239 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG2-14                 	      10	  19921688 ns/op	 492.35 MB/s	         8.901 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG2-14                 	      10	   9466238 ns/op	1036.14 MB/s	         8.786 ratio	33859952 B/op	      32 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG2-14               	      10	   7164188 ns/op	1369.08 MB/s	         8.786 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG2-14                 	      10	   5996517 ns/op	1635.67 MB/s	         8.827 ratio	33673920 B/op	      54 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG2-14               	      10	   4406092 ns/op	2226.09 MB/s	         8.827 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG2-14                 	      10	   3633362 ns/op	2699.52 MB/s	         8.854 ratio	34966780 B/op	      98 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG2-14               	      10	   2386975 ns/op	4109.11 MB/s	         8.854 ratio	 9814016 B/op	       1 allocs/op
