BenchmarkAllCodecs/MIC-Go/MG4-16                 	      10	  75021302 ns/op	 363.40 MB/s	         3.474 ratio	73297920 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/MG4-16             	      10	  73536565 ns/op	 370.74 MB/s	         3.473 ratio	73297920 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-8state/MG4-16             	      10	  73479862 ns/op	 371.03 MB/s	         3.473 ratio	73297920 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG4-16           	      10	  49775128 ns/op	 547.72 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG4-16        	      10	  41900738 ns/op	 650.66 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MG4-16           	      10	  47701014 ns/op	 571.54 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MG4-16        	      10	  40300095 ns/op	 676.50 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG4-16                  	      10	  55835362 ns/op	 488.27 MB/s	         3.474 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG4-16               	      10	  48427399 ns/op	 562.97 MB/s	         3.474 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG4-16                  	      10	  44655676 ns/op	 610.52 MB/s	         3.506 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG4-16                 	      10	 173746774 ns/op	 156.91 MB/s	         3.705 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG4-16                 	      10	  45431715 ns/op	 600.09 MB/s	         3.517 ratio	100761977 B/op	      28 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG4-16               	      10	  21743693 ns/op	1253.83 MB/s	         3.517 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG4-16                 	      10	  31500162 ns/op	 865.49 MB/s	         3.585 ratio	104956608 B/op	      53 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG4-16               	      10	  14431638 ns/op	1889.11 MB/s	         3.585 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG4-16                 	      10	  21159103 ns/op	1288.48 MB/s	         3.618 ratio	107898585 B/op	     103 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG4-16               	      10	   8988184 ns/op	3033.20 MB/s	         3.618 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CT1-16                 	      10	   2324010 ns/op	 225.60 MB/s	         2.789 ratio	 2727945 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state/CT1-16             	      10	   2180626 ns/op	 240.43 MB/s	         2.789 ratio	 2727945 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-8state/CT1-16             	      10	   2239469 ns/op	 234.11 MB/s	         2.788 ratio	 2727936 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state-C/CT1-16           	      10	   1340479 ns/op	 391.12 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/CT1-16        	      10	   1087301 ns/op	 482.19 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/CT1-16           	      10	   1222095 ns/op	 429.01 MB/s	         2.788 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/CT1-16        	      10	    998930 ns/op	 524.85 MB/s	         2.788 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CT1-16                  	      10	   1642059 ns/op	 319.29 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/CT1-16               	      10	   1380665 ns/op	 379.74 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/CT1-16                  	      10	   1344287 ns/op	 390.01 MB/s	         2.704 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/CT1-16                 	      10	   3677948 ns/op	 142.55 MB/s	         3.190 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/CT1-16                 	      10	   1919426 ns/op	 273.15 MB/s	         2.696 ratio	 4325808 B/op	      26 allocs/op
BenchmarkAllCodecs/PICS-C-2/CT1-16               	      10	   1084986 ns/op	 483.22 MB/s	         2.696 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/CT1-16                 	      10	   1396420 ns/op	 375.45 MB/s	         2.542 ratio	 5948224 B/op	      44 allocs/op
