# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/MIC-4state-C/MR1-14           	      10	    724646 ns/op	 723.51 MB/s	         2.087 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MR1-14        	      10	    716958 ns/op	 731.27 MB/s	         2.087 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MR1-14                  	      10	    850696 ns/op	 616.30 MB/s	         2.087 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MR1-14               	      10	    849617 ns/op	 617.09 MB/s	         2.087 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MR1-14                  	      10	   1458912 ns/op	 359.37 MB/s	         2.126 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MR1-14                 	      10	   3388388 ns/op	 154.73 MB/s	         2.297 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MR1-14                 	      10	    925567 ns/op	 566.45 MB/s	         2.092 ratio	 3604944 B/op	      25 allocs/op
BenchmarkAllCodecs/PICS-C-2/MR1-14               	      10	    536696 ns/op	 976.88 MB/s	         2.092 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MR1-14                 	      10	    711142 ns/op	 737.25 MB/s	         2.098 ratio	 5358272 B/op	      47 allocs/op
BenchmarkAllCodecs/PICS-C-4/MR1-14               	      10	    359188 ns/op	1459.65 MB/s	         2.098 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MR1-14                 	      10	    712450 ns/op	 735.89 MB/s	         2.081 ratio	 7917651 B/op	      85 allocs/op
BenchmarkAllCodecs/PICS-C-8/MR1-14               	      10	    283283 ns/op	1850.76 MB/s	         2.081 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MR2-14                 	      10	   5131175 ns/op	 408.71 MB/s	         3.283 ratio	10105856 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state/MR2-14             	      10	   4610283 ns/op	 454.89 MB/s	         3.282 ratio	10105856 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MR2-14           	      10	   2830312 ns/op	 740.96 MB/s	         3.282 ratio	 2097152 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MR2-14        	      10	   2774371 ns/op	 755.90 MB/s	         3.282 ratio	 2097152 B/op	       1 allocs/op
